,Sample.ID,X.2,X.1,ID,Experimenter,Mic..Plate,Tube.number,Tube.weight,Nest.Site,Date.opened,Date.closed,Sex,Dev.stage,Pollen.Weight,Treatment.Group,Vol..Treatment,X,Plate,sample.date,larval.weight,days.to.maturity,dead.on.exp.day,death.date,died,status,X5.May,X7.May,X10.May,X12.May,X14.May,X17.May,X19.May,X20.May,X21.May,X22.May,X23.May,X24.May,X25.May,X26.May,X27.May,X28.May,X29.May,X30.May,X31.May,X1.Jun,X2.Jun,X3.Jun,X4.Jun,X5.Jun,X6.Jun,X7.Jun,X8.Jun,X9.Jun,X10.Jun,X11.Jun,X12.Jun,X13.Jun,X14.Jun,X15.Jun,X16.Jun,X17.Jun,NOTES,closed.coccoon..y.only.,Treatment,time,mic.plate,date.out.of.fridge,date.emerged,did.not.emerge,date.dead,adult.weight,sex,notes
70,MAB136,490,183,NA,Mark,21,15,3.18,Mark,5/14/21,5/13/21,M,e,0.121,None,NA,,21,5/28/21,0.0594,15,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,Pulled out by mistake on 5/29 and returned (sampled on 5/28),,None,15,21,4/12/22,4/14/22,,,0.013,M,
71,MAB137,491,184,NA,Mark,21,15,3.18,Mark,5/14/21,5/13/21,M,e,0.127,None,NA,,21,5/30/21,0.0586,17,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,17,21,4/12/22,4/15/22,,,0.014,M,
72,MAB138,492,185,NA,Mark,21,15,3.18,Mark,5/14/21,5/13/21,M,e,0.121,Cap High,6.5,,21,5/29/21,0.0563,16,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Cap High,16,21,4/12/22,4/14/22,,,0.013,M,
73,MAB139,493,186,NA,Mark,21,15,3.18,Mark,5/14/21,5/13/21,M,e,0.105,None,NA,,21,5/30/21,0.0492,17,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,17,21,4/12/22,4/14/22,,,0.011,M,
74,MAB141,494,188,NA,Mark,21,15,3.18,Mark,5/14/21,5/13/21,M,e,0.118,Difen Low,6.3,,21,5/30/21,0.0559,17,NA,NA,0,1,,,,,e,fl,fl,fl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,17,21,4/12/22,4/14/22,,,0.012,M,
75,MAB142,495,189,NA,Mark,21,15,3.18,Mark,5/14/21,5/13/21,M,e,0.11,Cap High,5.9,,21,5/30/21,0.0545,17,NA,NA,0,1,,,,,e,fl,fl,fl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,17,21,4/12/22,4/15/22,,,0.012,M,
76,MAB144,519,190,NA,Mark,23,16,4.95,Mark,5/14/21,5/13/21,F,hl,0.302,Acetone,16.2,,23,5/31/21,0.1301,18,NA,NA,0,1,,,,,,fl,dl,dl,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,18,23,4/12/22,4/15/22,,,0.037,F,
77,MAB145,520,191,NA,Mark,23,16,4.95,Mark,5/14/21,5/13/21,F,e,0.268,Difen Low,14.4,,23,5/31/21,0.1309,18,NA,NA,0,1,,,,,,fl,dl,dl,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,18,23,4/12/22,4/16/22,,,0.03,F,
78,MAB146,521,192,NA,Mark,23,16,4.95,Mark,5/14/21,5/13/21,F,e,0.317,Difen High,17,,23,5/31/21,0.1478,18,NA,NA,0,1,,,,,,fl,dl,dl,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,18,23,4/12/22,4/17/22,,,0.033,F,
79,MAB147,522,193,NA,Mark,23,16,4.95,Mark,5/14/21,5/13/21,F,e,0.259,Cap Low,13.9,,23,6/2/21,0.1346,20,NA,NA,0,1,,,,,,fl,dl,dl,dl,,,,,,,,,,,,sp,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,20,23,4/12/22,4/16/22,,,0.027,F,
80,MAB148,523,194,NA,Mark,23,16,4.95,Mark,5/14/21,5/13/21,M,e,0.177,None,NA,,23,6/2/21,0.0818,20,NA,NA,0,1,,,,,,fl,fl,dl,dl,,,,,,,,,,,,sp,,,,,,,,,,,NA,NA,NA,NA,,,yes,None,20,23,4/12/22,4/14/22,,,0.02,M,
81,MAB149,524,195,NA,Mark,23,16,4.95,Mark,5/14/21,5/13/21,M,e,0.148,Acetone,8,,23,5/30/21,0.0824,17,NA,NA,0,1,,,,,,fl,fl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,17,23,4/12/22,4/14/22,,,0.016,M,
82,MAB150,525,197,NA,Mark,23,16,4.95,Mark,5/14/21,5/13/21,M,e,0.166,Cap Low,8.9,,23,5/29/21,0.0865,16,NA,NA,0,1,,,,,,fl,fl,fl,fl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Cap Low,16,23,4/12/22,4/14/22,,,0.017,M,
83,MAB153,526,198,NA,Mark,23,17,5,Comstock,5/14/21,5/13/21,F,e,0.298,Cap High,16,,23,5/28/21,0.1416,15,NA,NA,0,1,,,,,,fl,fl,,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,15,23,4/12/22,4/17/22,,,0.029,F,
84,MAB154,527,199,NA,Mark,23,17,5,Comstock,5/14/21,5/13/21,F,e,0.309,Difen High,16.6,,23,5/28/21,0.1591,15,NA,NA,0,1,,,,,,fl,fl,,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,15,23,4/12/22,4/17/22,,,0.029,F,
85,MAB156,528,200,NA,Mark,23,17,5,Comstock,5/14/21,5/13/21,F,e,0.289,Difen Low,15.5,,23,6/1/21,0.1294,19,NA,NA,0,1,,,,,,fl,fl,,dl,,,,,,,,,,,sp,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,19,23,4/12/22,4/18/22,,,0.029,F,
86,MAB157,529,201,NA,Mark,23,17,5,Comstock,5/14/21,5/13/21,M,e,0.141,None,NA,,23,5/31/21,0.0708,18,NA,NA,0,1,,,,,,fl,fl,,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,18,23,4/12/22,4/14/22,,,0.016,M,
87,MAB158,530,202,NA,Mark,23,17,5,Comstock,5/14/21,5/13/21,M,e,0.138,Difen Low,7.4,,23,5/30/21,0.0709,17,NA,NA,0,1,,,,,,fl,fl,,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,17,23,4/12/22,4/14/22,,,0.016,M,
88,MAB159,531,203,NA,Mark,23,17,5,Comstock,5/14/21,5/13/21,M,e,0.127,Cap High,6.8,,23,5/29/21,0.0672,16,NA,NA,0,1,,,,,,fl,fl,,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Cap High,16,23,4/12/22,4/14/22,,,0.015,M,
89,MAB16,233,204,NA,Mark,9,2,4.4,Nathalia,5/7/21,5/3/21,M,fl,0.15,Cap Low,8.1,,9,5/29/21,0.0876,26,NA,NA,0,1,,,fl,dl,dl,dl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Cap Low,26,9,4/12/22,4/17/22,,,0.017,M,
90,MAB160,532,205,NA,Mark,23,17,5,Comstock,5/14/21,5/13/21,M,e,0.134,Cap Low,7.2,,23,5/30/21,0.0677,17,NA,NA,0,1,,,,,,fl,fl,,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,17,23,4/12/22,4/15/22,,,0.015,M,
91,MAB161,533,206,NA,Mark,23,17,5,Comstock,5/14/21,5/13/21,M,e,0.125,None,NA,,23,6/1/21,0.0586,19,NA,NA,0,1,,,,,,hl,fl,,dl,,,,,,,,,,,sp,,,,,,,,,,,,NA,NA,NA,NA,,,,None,19,23,4/12/22,4/14/22,,,0.013,M,
92,MAB162,534,207,NA,Mark,23,18,5.17,Mark,5/18/21,5/17/21,F,fl,0.264,Cap High,14.2,,23,5/31/21,0.1367,14,NA,NA,0,1,,,,,,,fl,,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,14,23,4/12/22,,x,4/12/22,NA,,
93,MAB163,535,208,NA,Mark,23,18,5.17,Mark,5/18/21,5/17/21,F,fl,0.209,None,NA,,23,5/31/21,0.1054,14,NA,NA,0,1,,,,,,,fl,,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,14,23,4/12/22,4/19/22,,,0.023,F,
94,MAB164,536,209,NA,Mark,23,18,5.17,Mark,5/18/21,5/17/21,F,fl,0.275,Acetone,14.8,,23,5/31/21,0.1446,14,NA,NA,0,1,,,,,,,fl,,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,14,23,4/12/22,4/16/22,,,0.03,F,
95,MAB165,537,210,NA,Mark,23,18,5.17,Mark,5/18/21,5/17/21,F,fl,0.286,Cap High,15.4,,23,5/31/21,0.1266,14,NA,NA,0,1,,,,,,,fl,fl,fl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,14,23,4/12/22,4/17/22,,,0.03,F,
96,MAB166,538,211,NA,Mark,23,18,5.17,Mark,5/18/21,5/17/21,F,fl,0.266,Difen High,14.3,,23,6/1/21,0.1157,15,NA,NA,0,1,,,,,,,fl,fl,fl,,,,,,,,,,,sp,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,15,23,4/12/22,4/21/22,,,0.028,F,
97,MAB167,625,212,NA,Mark,29,18,5.17,Mark,5/18/21,5/17/21,F,hl,0.261,None,NA,,29,6/7/21,0.1308,21,NA,NA,0,1,,,,,,,fl,fl,fl,dl,,,,,,,,,,,,,,,,sp,,,,,,NA,NA,NA,NA,,,,None,21,29,4/12/22,4/19/22,,,0.028,F,
98,MAB169,627,214,NA,Mark,29,18,5.17,Mark,5/18/21,5/17/21,M,hl,0.145,Acetone,7.8,,29,5/30/21,0.0776,13,NA,NA,0,1,,,,,,,fl,fl,fl,dl,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,13,29,4/12/22,4/15/22,,,0.016,M,
99,MAB17,234,215,NA,Mark,9,2,4.4,Nathalia,5/7/21,5/3/21,M,fl,0.142,Difen High,7.6,,9,5/26/21,0.0813,23,NA,NA,0,1,,,dl,dl,dl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,23,9,4/12/22,4/14/22,,,0.019,M,
100,MAB170,628,216,NA,Mark,29,18,5.17,Mark,5/18/21,5/17/21,M,e,0.119,Difen Low,6.4,,29,5/30/21,0.0641,13,NA,NA,0,1,,,,,,,fl,fl,fl,dl,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,13,29,4/12/22,4/14/22,,,0.015,M,
101,MAB171,629,217,NA,Mark,29,18,5.17,Mark,5/18/21,5/17/21,M,e,0.145,Difen High,7.8,,29,5/30/21,0.0776,13,NA,NA,0,1,,,,,,,fl,fl,fl,dl,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,13,29,4/12/22,4/16/22,,,0.015,M,
102,MAB172,630,218,NA,Mark,29,18,5.17,Mark,5/18/21,5/17/21,M,e,0.148,Difen Low,8,,29,5/30/21,0.08,13,NA,NA,0,1,,,,,,,fl,fl,fl,dl,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,13,29,4/12/22,4/14/22,,,0.016,M,
103,MAB173,631,219,NA,Mark,29,18,5.17,Mark,5/18/21,5/17/21,M,e,0.131,Cap Low,7,,29,6/4/21,0.072,18,NA,NA,0,1,,,,,,,e,hl,fl,dl,,,,,,,,,,,,,sp,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,18,29,4/12/22,4/14/22,,,0.015,M,
104,MAB174,632,220,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,F,fl,0.328,None,NA,,29,5/31/21,0.1519,14,NA,NA,0,1,,,,,,,fl,fl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,14,29,4/12/22,4/14/22,,,0.037,F,
105,MAB175,633,221,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,F,fl,0.298,Acetone,16,,29,5/31/21,0.1341,14,NA,NA,0,1,,,,,,,fl,fl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,14,29,4/12/22,,x,,NA,,
106,MAB176,634,222,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,F,fl,0.265,Cap High,14.2,,29,5/31/21,0.1236,14,NA,NA,0,1,,,,,,,fl,fl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,y,Cap High,14,29,4/12/22,4/16/22,,,0.029,F,
107,MAB177,635,223,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,F,fl,0.293,Acetone,15.8,,29,5/31/21,0.1447,14,NA,NA,0,1,,,,,,,fl,fl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,14,29,4/12/22,4/18/22,,,0.032,F,
108,MAB179,637,225,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,M,fl,0.164,Difen High,8.8,,29,6/4/21,0.0799,18,NA,NA,0,1,,,,,,,fl,fl,fl,dl,,,,,,,,,,,,,sp,,,,,,,,,NA,NA,NA,NA,,,,Difen High,18,29,4/12/22,4/14/22,,,0.018,M,
109,MAB18,235,226,NA,Mark,9,2,4.4,Nathalia,5/7/21,5/3/21,M,fl,0.136,Acetone,7.3,,9,5/29/21,0.0775,26,NA,NA,0,1,,,fl,dl,dl,dl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Acetone,26,9,4/12/22,4/14/22,,,0.018,M,
110,MAB180,638,227,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,M,fl,0.16,None,NA,,29,6/1/21,0.0796,15,NA,NA,0,1,,,,,,,fl,fl,fl,dl,,,,,,,,,,sp,,,,,,,,,,,,NA,NA,NA,NA,,,,None,15,29,4/12/22,,x,4/12/22,NA,,
111,MAB181,639,228,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,M,hl,0.138,Cap Low,7.4,,29,6/1/21,0.0736,15,NA,NA,0,1,,,,,,,fl,fl,fl,dl,,,,,,,,,,sp,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,15,29,4/12/22,4/14/22,,,0.018,M,
112,MAB182,640,229,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,M,hl,0.159,Difen High,8.5,,29,6/2/21,0.0833,16,NA,NA,0,1,,,,,,,fl,fl,fl,dl,,,,,,,,,,,sp,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,16,29,4/12/22,4/14/22,,,0.019,M,
113,MAB183,641,230,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,M,e,0.194,None,NA,,29,6/1/21,0.1005,15,NA,NA,0,1,,,,,,,e,hl,fl,fl,,,,,,,,,,sp,,,,,,,,,,,,NA,NA,NA,NA,,,,None,15,29,4/12/22,4/17/22,,,0.02,F,
114,MAB184,642,231,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,M,e,0.151,Acetone,8.1,,29,6/4/21,0.0735,18,NA,NA,0,1,,,,,,,e,hl,fl,fl,,,,,,,,,,,,,sp,,,,,,,,,NA,NA,NA,NA,,,,Acetone,18,29,4/12/22,4/14/22,,,0.014,M,
115,MAB185,643,232,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,M,e,0.176,Difen Low,9.5,,29,6/3/21,0.0698,17,NA,NA,0,1,,,,,,,e,hl,fl,fl,,,,,,,,,,,,sp,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,17,29,4/12/22,4/14/22,,,0.015,M,
116,MAB186,644,233,NA,Mark,29,19,5.02,Mark,5/18/21,5/17/21,M,e,0.152,Cap Low,8.2,,29,6/5/21,0.0784,19,NA,NA,0,1,,,,,,,e,hl,fl,fl,,,,,,,,,,,,,,sp,,,,,,,,NA,NA,NA,NA,,,,Cap Low,19,29,4/12/22,4/14/22,,,0.015,M,
117,MAB187,645,234,NA,Mark,29,20,5.01,Mark,5/18/21,5/17/21,F,fl,0.242,Cap Low,13,,29,5/28/21,0.1211,11,NA,NA,0,1,,,,,,,fl,,dl,dl,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,y,Cap Low,11,29,4/12/22,4/18/22,,,0.027,F,
118,MAB189,646,235,NA,Mark,29,20,5.01,Mark,5/18/21,5/17/21,F,fl,0.229,Cap High,12.3,,29,5/28/21,0.1206,11,NA,NA,0,1,,,,,,,fl,,dl,dl,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,11,29,4/12/22,4/18/22,,,0.025,F,
119,MAB190,647,237,NA,Mark,29,20,5.01,Mark,5/18/21,5/17/21,F,fl,0.244,Cap High,13.1,,29,5/28/21,0.1321,11,NA,NA,0,1,,,,,,,fl,,dl,dl,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,11,29,4/12/22,4/19/22,,,0.025,F,
120,MAB191,648,238,NA,Mark,30,20,5.01,Mark,5/18/21,5/17/21,F,fl,0.216,Difen High,11.6,,30,5/30/21,0.1084,13,NA,NA,0,1,,,,,,,fl,,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,13,30,4/12/22,4/18/22,,,0.023,F,
121,MAB192,649,239,NA,Mark,30,20,5.01,Mark,5/18/21,5/17/21,M,hl,0.15,Cap Low,8.1,,30,6/1/21,0.0703,15,NA,NA,0,1,,,,,,,fl,,dl,dl,,,,,,,,,,sp,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,15,30,4/12/22,4/14/22,,,0.015,M,
122,MAB193,650,240,NA,Mark,30,20,5.01,Mark,5/18/21,5/17/21,M,hl,0.136,Cap High,7.3,,30,6/3/21,0.067,17,NA,NA,0,1,,,,,,,fl,,fl,dl,,,,,,,,,,,,sp,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,17,30,4/12/22,4/14/22,,,0.014,M,
123,MAB194,651,241,NA,Mark,30,20,5.01,Mark,5/18/21,5/17/21,M,hl,0.131,Difen Low,7,,30,6/1/21,0.0695,15,NA,NA,0,1,,,,,,,fl,,fl,dl,,,,,,,,,,sp,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,15,30,4/12/22,4/15/22,,,0.016,M,
124,MAB195,652,242,NA,Mark,30,20,5.01,Mark,5/18/21,5/17/21,M,e,0.134,Cap Low,7.2,,30,5/31/21,0.0723,14,NA,NA,0,1,,,,,,,fl,,fl,dl,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,14,30,4/12/22,4/15/22,,,0.016,M,
125,MAB196,653,243,NA,Mark,30,20,5.01,Mark,5/18/21,5/17/21,M,e,0.122,Difen High,6.6,,30,5/30/21,0.0636,13,NA,NA,0,1,,,,,,,hl,,fl,fl,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,13,30,4/12/22,4/14/22,,,0.013,M,
126,MAB197,654,244,NA,Mark,30,20,5.01,Mark,5/18/21,5/17/21,M,e,0.121,Acetone,6.5,,30,5/30/21,0.067,13,NA,NA,0,1,,,,,,,hl,,fl,fl,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,13,30,4/12/22,4/14/22,,,0.01,M,
127,MAB198,655,245,NA,Mark,30,20,5.01,Mark,5/18/21,5/17/21,M,e,0.12,Acetone,6.5,,30,6/2/21,0.066,16,NA,NA,0,1,,,,,,,e,,fl,fl,,,,,,,,,,,sp,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,16,30,4/12/22,4/14/22,,,0.013,M,
128,MAB199,656,246,NA,Mark,30,20,5.01,Mark,5/18/21,5/17/21,M,e,0.111,Cap Low,6,,30,6/2/21,0.0604,16,NA,NA,0,1,,,,,,,hl,,fl,dl,,,,,,,,,,,sp,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,16,30,4/12/22,4/14/22,,,0.013,M,
129,MAB20,237,248,NA,Mark,9,3,4.01,Mark,5/7/21,5/3/21,F,fl,0.25,Difen High,13.4,,9,5/26/21,0.1074,23,NA,NA,0,1,,,fl,dl,dl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,23,9,4/12/22,4/14/22,,,0.026,F,
130,MAB201,657,249,NA,Mark,30,20,4.8,Mark,5/19/21,5/18/21,F,fl,0.28,Acetone,15.5,,30,5/31/21,0.1392,13,NA,NA,0,1,,,,,,,fl,,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,13,30,4/12/22,4/17/22,,,0.04,F,
131,MAB202,658,250,NA,Mark,30,20,4.8,Mark,5/19/21,5/18/21,F,fl,0.275,None,NA,,30,5/30/21,0.1414,12,NA,NA,0,1,,,,,,,fl,,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,12,30,4/12/22,4/19/22,,,0.029,F,
132,MAB203,659,251,NA,Mark,30,20,4.8,Mark,5/19/21,5/18/21,F,fl,0.272,Acetone,14.6,,30,5/30/21,0.1358,12,NA,NA,0,1,,,,,,,fl,,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,12,30,4/12/22,4/16/22,,,0.027,F,
133,MAB204,660,252,NA,Mark,30,20,4.8,Mark,5/19/21,5/18/21,F,fl,0.252,Cap High,13.5,,30,5/31/21,0.1341,13,NA,NA,0,1,,,,,,,fl,,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,13,30,4/12/22,4/17/22,,,0.028,F,
134,MAB205,661,253,NA,Mark,30,20,4.8,Mark,5/19/21,5/18/21,M,fl,0.171,Cap High,9.2,,30,5/31/21,0.0884,13,NA,NA,0,1,,,,,,,fl,,fl,fl,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,13,30,4/12/22,4/15/22,,,0.02,M,
135,MAB206,662,254,NA,Mark,30,20,4.8,Mark,5/19/21,5/18/21,M,fl,0.16,Difen Low,8.6,,30,5/31/21,0.085,13,NA,NA,0,1,,,,,,,fl,,fl,fl,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,13,30,4/12/22,4/14/22,,,0.019,M,
136,MAB207,663,255,NA,Mark,30,20,4.8,Mark,5/19/21,5/18/21,M,fl,0.171,Difen High,9.2,,30,5/31/21,0.0897,13,NA,NA,0,1,,,,,,,fl,,fl,fl,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,13,30,4/12/22,4/14/22,,,0.018,M,
137,MAB208,664,256,NA,Mark,30,20,4.8,Mark,5/19/21,5/18/21,M,e,0.168,Cap Low,9,,30,6/5/21,0.0867,18,NA,NA,0,1,,,,,,,e,hl,hl-dead?,fl,,,,,,,,,,,,,,sp,,,,,,,,NA,NA,NA,NA,,,,Cap Low,18,30,4/12/22,4/15/22,,,0.018,M,
138,MAB21,238,257,NA,Mark,9,3,4.01,Mark,5/7/21,5/4/21,F,fl,0.256,Difen Low,13.8,,9,5/26/21,0.1263,22,NA,NA,0,1,,,dl,dl,dl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,22,9,4/12/22,4/14/22,,,0.032,F,
139,MAB24,27,260,NA,Mark,12,4,4.85,Moreau,5/10/21,5/9/21,F,e,0.257,Cap Low,13.8,,9,NA,,NA,1,5/10/21,1,2,,,empty,empty,empty,empty,empty,empty,empty,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,1,12,4/12/22,4/17/22,,,0.032,F,O. lignaria
140,MAB24,284,261,NA,Mark,12,4,4.85,Moreau,5/10/21,5/9/21,F,e,0.257,Cap Low,13.8,,12,5/26/21,0.1357,17,NA,NA,0,1,,,,fl,fl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,17,12,4/12/22,4/17/22,,,0.032,F,O. lignaria
141,MAB28,288,265,NA,Mark,12,4,4.85,Moreau,5/10/21,5/9/21,F,e,0.264,None,NA,,12,5/30/21,0.1402,21,NA,NA,0,1,,,,fl,fl,dl,dl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,21,12,4/12/22,4/14/22,,,0.034,F,O. lignaria
142,MAB29,289,266,NA,Mark,12,4,4.85,Moreau,5/10/21,5/9/21,F,e,0.242,Difen Low,13,,12,5/27/21,0.1251,18,NA,NA,0,1,,,,fl,fl,dl,dl,dl,dl,,,,,,sp,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,18,12,4/12/22,,x,,NA,,
143,MAB31,291,269,NA,Mark,12,4,4.85,Moreau,5/10/21,5/9/21,M,e,0.158,Acetone,8.5,,12,5/26/21,0.0849,17,NA,NA,0,1,,,,fl,fl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,17,12,4/12/22,4/14/22,,,0.022,M,O. lignaria
144,MAB32,292,270,NA,Mark,12,4,4.85,Moreau,5/10/21,5/9/21,M,e,0.164,Cap High,8.8,,12,5/28/21,0.0865,19,NA,NA,0,1,,,,fl,fl,dl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,19,12,4/12/22,4/14/22,,,0.021,M,O. lignaria
145,MAB34,293,272,NA,Mark,12,5,4.66,Moreau,5/10/21,5/9/21,F,fl,0.265,Acetone,14.2,,12,5/26/21,0.1458,17,NA,NA,0,1,,,,fl,dl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,17,12,4/12/22,4/18/22,,,0.032,F,
146,MAB36,295,274,NA,Mark,12,5,4.66,Moreau,5/10/21,5/9/21,F,fl,0.26,Difen Low,14,,12,5/28/21,0.1411,19,NA,NA,0,1,,,,fl,dl,dl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,19,12,4/12/22,4/15/22,,,0.034,F,
147,MAB37,296,275,NA,Mark,12,5,4.66,Moreau,5/10/21,5/9/21,F,hl,0.275,Cap Low,14.8,,12,5/28/21,0.1377,19,NA,NA,0,1,,,,fl,fl,dl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,19,12,4/12/22,4/17/22,,,0.03,F,
148,MAB38,297,276,NA,Mark,12,5,4.66,Moreau,5/10/21,5/9/21,F,hl,0.269,Difen Low,14.5,,12,5/27/21,0.1193,18,NA,NA,0,1,,,,fl,dl,dl,dl,dl,dl,,,,houdini,,sp,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,houdini,,Difen Low,18,12,4/12/22,4/16/22,,,0.029,F,
