,Sample.ID,X.2,X.1,ID,Experimenter,Mic..Plate,Tube.number,Tube.weight,Nest.Site,Date.opened,Date.closed,Sex,Dev.stage,Pollen.Weight,Treatment.Group,Vol..Treatment,X,Plate,sample.date,larval.weight,days.to.maturity,dead.on.exp.day,death.date,died,status,X5.May,X7.May,X10.May,X12.May,X14.May,X17.May,X19.May,X20.May,X21.May,X22.May,X23.May,X24.May,X25.May,X26.May,X27.May,X28.May,X29.May,X30.May,X31.May,X1.Jun,X2.Jun,X3.Jun,X4.Jun,X5.Jun,X6.Jun,X7.Jun,X8.Jun,X9.Jun,X10.Jun,X11.Jun,X12.Jun,X13.Jun,X14.Jun,X15.Jun,X16.Jun,X17.Jun,NOTES,closed.coccoon..y.only.,Treatment,time,mic.plate,date.out.of.fridge,date.emerged,did.not.emerge,date.dead,adult.weight,sex,notes
14,BND85,194,84,NA,Bryan,7,13,NA,Mark,5/5/21,5/4/21,M,e,0.133,Cap High,7.2,,7,5/28/21,0.0574,24,NA,NA,0,1,,e,fl,dl,dl,dl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,24,7,4/12/22,,x,,NA,,
15,BND91,199,91,NA,Bryan,7,14,NA,Nathalia,5/6/21,5/4/21,F,e,0.226,Cap Low,12.1,,7,5/26/21,0.1201,22,NA,NA,0,1,,fl,fl,dl,dl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,22,7,4/12/22,4/17/22,,,0.026,F,
16,JK23,176,111,NA,Jordan,6,3,4.55,Nathalia,5/5/21,5/4/21,M,e,0.125,Cap Low,6.72,,6,5/28/21,0.0617,24,NA,NA,0,1,,,fl,fl,fl,dl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,24,6,4/12/22,4/14/22,,,0.012,M,
17,JK25,305,113,NA,Jordan,13,4,4.8,Moreau,5/10/21,5/9/21,F,l,0.246,None,13.25,,13,5/31/21,0.0781,22,NA,NA,0,1,,,,fl,dl,dl,dl,dl,dl,,,,sick,sick,,,Sick,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,22,13,4/12/22,4/15/22,,,0.027,F,
18,JK28,306,116,NA,Jordan,13,4,4.8,Moreau,5/10/21,5/9/21,M,l,0.168,Difen High,9.03,,13,5/29/21,0.0872,20,NA,NA,0,1,,,,fl,dl,dl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Difen High,20,13,4/12/22,4/16/22,,,0.019,M,
19,JK30,307,119,NA,Jordan,13,4,4.8,Moreau,5/10/21,5/9/21,M,e,0.1534,Difen Low,8.25,,13,5/28/21,0.0752,19,NA,NA,0,1,,,,hl,fl,dl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,19,13,4/12/22,4/14/22,,,0.016,M,
20,JK31,308,120,NA,Jordan,13,5,NA,Mark,5/10/21,5/10/21,F,l,0.2874,Cap High,15.45,,13,5/26/21,0.1444,16,NA,NA,0,1,,,,fl,fl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,16,13,4/12/22,,x,,NA,,
21,JK32,309,121,NA,Jordan,13,5,NA,Mark,5/10/21,5/10/21,F,e,0.2081,Difen High,11.187,,13,5/28/21,0.1114,18,NA,NA,0,1,,,,fl,fl,dl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,18,13,4/12/22,4/16/22,,,0.025,F,
22,JK36,310,125,NA,Jordan,13,6,3.34,Mark,5/10/21,5/10/21,M,e,0.1479,Acetone,7.95,,13,5/26/21,0.0723,16,NA,NA,0,1,,,,hl,fl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,16,13,4/12/22,4/17/22,,,0.014,M,
23,JK37,311,126,NA,Jordan,13,7,5.12,Mark,5/10/21,5/10/21,F,l,0.2533,Cap Low,13.62,,13,5/29/21,0.1145,19,NA,NA,0,1,,,,fl,dl,dl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Cap Low,19,13,4/12/22,4/18/22,,,0.026,F,
24,JK38,312,127,NA,Jordan,13,7,5.12,Mark,5/10/21,5/10/21,F,l,0.2882,Difen Low,16.36,,13,5/26/21,0.1301,16,NA,NA,0,1,,,,fl,dl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,16,13,4/12/22,4/17/22,,,0.03,F,
25,JK39,313,128,NA,Jordan,13,7,5.12,Mark,5/10/21,5/10/21,F,l,0.2461,Difen High,13.23,,13,5/28/21,0.121,18,NA,NA,0,1,,,,fl,dl,dl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,18,13,4/12/22,4/16/22,,,0.026,F,
26,JK41,315,131,NA,Jordan,13,8,4.4,Sanderson,5/19/21,5/17/21,F,e,0.215,Acetone,11.56,,13,6/6/21,0.1101,20,NA,NA,0,1,,,,empty,empty,empty,fl,fl,fl,,,sickly,,,,,,,,,,,,,sp,,,,,,,NA,NA,NA,NA,,,,Acetone,20,13,4/12/22,,x,4/12/22,NA,,
27,JK42,316,132,NA,Jordan,13,8,4.4,Sanderson,5/20/21,5/17/21,F,e,0.21,Difen Low,11.29,,13,6/7/21,0.1079,21,NA,NA,0,1,,,,empty,empty,empty,hl,hl,fl,,,,,,,,,,,,,,,,,sp,,,,,,NA,NA,NA,NA,,,,Difen Low,21,13,4/12/22,4/21/22,,,0.026,F,
28,JK43,317,133,NA,Jordan,13,8,4.4,Sanderson,5/21/21,5/17/21,M,e,0.1516,Acetone,8.15,,13,6/7/21,0.0781,21,NA,NA,0,1,,,,empty,empty,empty,e ,e ,fl,,,,,,,,,,,,,,,,,sp,,,,,,NA,NA,NA,NA,,,,Acetone,21,13,4/12/22,4/17/22,,,0.017,M,
29,JK44,318,134,NA,Jordan,13,8,4.4,Sanderson,5/22/21,5/17/21,M,e,0.15,Difen Low,8.06,,13,6/4/21,0.0805,18,NA,NA,0,1,,,,empty,empty,empty,e ,e ,fl,,,,,,,,,,,,,,sp,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,18,13,4/12/22,4/18/22,,,0.018,M,
30,JK45,319,135,NA,Jordan,13,8,4.4,Sanderson,5/23/21,5/17/21,M,e,0.154,None,8.28,,13,6/5/21,0.0784,19,NA,NA,0,1,,,,empty,empty,empty,e ,e ,fl,,,,,,,,,,,,,,,sp,,,,,,,,NA,NA,NA,NA,,,,None,19,13,4/12/22,4/16/22,,,0.016,M,
31,JK46,320,136,NA,Jordan,13,8,4.4,Sanderson,5/24/21,5/17/21,M,e,0.15,Acetone,8.06,,13,6/10/21,0.0686,24,NA,NA,0,1,,,,empty,empty,empty,e ,e ,fl-sick?,,,,,,,,,,,,,,,,,,,,sp,,,NA,NA,NA,NA,,,,Acetone,24,13,4/12/22,4/19/22,,,0.015,M,
32,JK47,321,137,NA,Jordan,13,8,4.4,Sanderson,5/25/21,5/17/21,M,e,0.105,None,5.65,,13,6/5/21,0.0506,19,NA,NA,0,1,,,,empty,empty,empty,e ,e ,fl,,,,,,,,,,,,,,,sp,,,,,,,,NA,NA,NA,NA,,,,None,19,13,4/12/22,4/17/22,,,0.011,M,
33,JK48,322,138,NA,Jordan,13,17,4.72,Maria,5/26/21,5/16/21,M,e,0.141,Cap High,7.58,,13,6/5/21,0.0767,20,NA,NA,0,1,,,,empty,empty,empty,e ,e ,fl,,,,,,,,,,,,,,,sp,,,,,,,,NA,NA,NA,NA,,,,Cap High,20,13,4/12/22,4/16/22,,,0.016,M,
34,MAB100,452,146,NA,Mark,20,11,4.42,Mark,5/12/21,5/11/21,F,e,0.261,Cap Low,14,,20,5/29/21,0.1323,18,NA,NA,0,1,,,,,fl,dl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Cap Low,18,20,4/12/22,4/18/22,,,0.028,F,
35,MAB101,453,147,NA,Mark,20,11,4.42,Mark,5/12/21,5/11/21,M,e,0.15,None,NA,,20,5/30/21,0.0725,19,NA,NA,0,1,,,,,fl,fl,dl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,19,20,4/12/22,4/14/22,,,0.016,M,
36,MAB102,454,148,NA,Mark,20,11,4.42,Mark,5/12/21,5/11/21,M,e,0.148,Cap Low,8,,20,5/29/21,0.0732,18,NA,NA,0,1,,,,,fl,fl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Cap Low,18,20,4/12/22,4/14/22,,,0.015,M,
37,MAB103,455,149,NA,Mark,20,11,4.42,Mark,5/12/21,5/11/21,M,e,0.151,Difen Low,8.1,,20,5/29/21,0.0748,18,NA,NA,0,1,,,,,hl,fl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Difen Low,18,20,4/12/22,4/14/22,,,0.016,M,
38,MAB104,456,150,NA,Mark,20,11,4.42,Mark,5/12/21,5/11/21,M,e,0.166,Cap High,8.9,,20,6/3/21,0.0817,23,NA,NA,0,1,,,,,hl,fl,dl,dl,dl,,,,,,,,,,,,,sp,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,23,20,4/12/22,4/14/22,,,0.019,M,
39,MAB106,457,151,NA,Mark,20,11,4.42,Mark,5/12/21,5/11/21,M,e,0.127,Difen High,6.8,,20,5/30/21,0.0635,19,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,19,20,4/12/22,4/15/22,,,0.015,M,
40,MAB107,458,152,NA,Mark,20,12,4.53,Mark,5/13/21,5/12/21,F,e,0.278,Cap Low,13.9,,20,5/31/21,0.1422,19,NA,NA,0,1,,,,,fl,dl,dl,dl,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,19,20,4/12/22,4/19/22,,,0.032,F,
41,MAB108,459,153,NA,Mark,20,12,4.53,Mark,5/13/21,5/12/21,F,e,0.256,Difen Low,13.8,,20,5/31/21,0.1234,19,NA,NA,0,1,,,,,fl,fl,dl,dl,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,19,20,4/12/22,4/17/22,,,0.028,F,
42,MAB109,460,154,NA,Mark,20,12,4.53,Mark,5/13/21,5/12/21,F,e,0.262,Acetone,14.1,,20,5/28/21,0.1246,16,NA,NA,0,1,,,,,hl,fl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,y,Acetone,16,20,4/12/22,4/16/22,,,0.026,F,
